CustomerID,Lookalikes
C0001,"[('C0164', 0.9999247622065323), ('C0127', 0.9995685864384749), ('C0092', 0.99821999645138)]"
C0003,"[('C0111', 0.9956161658685471), ('C0160', 0.9891985743778676), ('C0147', 0.9860269354916192)]"
C0006,"[('C0079', 0.9999729767790427), ('C0117', 0.9966006126920676), ('C0187', 0.9886523818473643)]"
C0011,"[('C0139', 0.999521575865666), ('C0037', 0.9914998132208734), ('C0064', 0.9863637573567483)]"
C0016,"[('C0154', 0.9997996887384316), ('C0026', 0.9993551612695444), ('C0040', 0.9961169900245138)]"
C0024,"[('C0179', 0.9985749009905988), ('C0081', 0.9814666690594344), ('C0194', 0.9230069679304871)]"
C0026,"[('C0154', 0.9998736275756283), ('C0016', 0.9993551612695444), ('C0040', 0.9923134857322141)]"
C0027,"[('C0176', 0.998959857671982), ('C0055', 0.9944368107668285), ('C0174', 0.9922852293236635)]"
C0030,"[('C0038', 0.9997985550666495), ('C0086', 0.999542562718982), ('C0047', 0.9983980891787099)]"
C0034,"[('C0181', 0.9904996947908862), ('C0098', 0.9374064670078344), ('C0134', 0.9294377078697873)]"
C0037,"[('C0067', 0.9955283728259358), ('C0139', 0.9950496038907239), ('C0011', 0.9914998132208734)]"
C0038,"[('C0086', 0.9999482291009054), ('C0030', 0.9997985550666495), ('C0047', 0.9993325828562603)]"
C0040,"[('C0016', 0.9961169900245138), ('C0154', 0.9941553864809896), ('C0026', 0.9923134857322141)]"
C0047,"[('C0106', 0.9997765607872062), ('C0086', 0.9996525472547767), ('C0038', 0.9993325828562603)]"
C0048,"[('C0183', 0.9999997363059528), ('C0187', 0.9980113055125851), ('C0117', 0.9913805939295635)]"
C0049,"[('C0161', 0.9983989395301716), ('C0134', 0.9981744445115417), ('C0098', 0.9965860971206624)]"
C0055,"[('C0174', 0.9998239408756523), ('C0027', 0.9944368107668285), ('C0176', 0.9885993676678867)]"
C0056,"[('C0116', 0.9997009478802645), ('C0133', 0.997315759326817), ('C0070', 0.9958554577614376)]"
C0064,"[('C0126', 0.9972818162071756), ('C0011', 0.9863637573567483), ('C0139', 0.9808015224330617)]"
C0066,"[('C0158', 0.9975534250365904), ('C0026', 0.9896377263090378), ('C0154', 0.9872299995023398)]"
C0067,"[('C0037', 0.9955283728259358), ('C0139', 0.9812124266862512), ('C0194', 0.9795052856694462)]"
C0069,"[('C0125', 0.9965207883834574), ('C0193', 0.9949731919878866), ('C0191', 0.9936328711447311)]"
C0070,"[('C0189', 0.9999884751294267), ('C0116', 0.9977817680531494), ('C0056', 0.9958554577614376)]"
C0072,"[('C0106', 0.9997203326421947), ('C0047', 0.9989970641856887), ('C0086', 0.9974697268083581)]"
C0079,"[('C0006', 0.9999729767790427), ('C0117', 0.9959680246079126), ('C0187', 0.9875213008359532)]"
C0081,"[('C0024', 0.9814666690594344), ('C0179', 0.9698408734700361), ('C0181', 0.9287181367605106)]"
C0086,"[('C0038', 0.9999482291009054), ('C0047', 0.9996525472547767), ('C0030', 0.999542562718982)]"
C0092,"[('C0125', 0.9992123012070561), ('C0001', 0.99821999645138), ('C0164', 0.997413320811621)]"
C0098,"[('C0134', 0.9997531360989329), ('C0161', 0.999660477616644), ('C0049', 0.9965860971206624)]"
C0106,"[('C0047', 0.9997765607872062), ('C0072', 0.9997203326421947), ('C0086', 0.9988720056018633)]"
C0107,"[('C0040', 0.9915619871558521), ('C0016', 0.9762988882684338), ('C0154', 0.9717716422388647)]"
C0111,"[('C0160', 0.998572335555359), ('C0147', 0.997285666758604), ('C0003', 0.9956161658685471)]"
C0116,"[('C0056', 0.9997009478802645), ('C0070', 0.9977817680531494), ('C0189', 0.9974506669040591)]"
C0117,"[('C0187', 0.9976674959003154), ('C0006', 0.9966006126920676), ('C0079', 0.9959680246079126)]"
C0118,"[('C0185', 0.9999904740062316), ('C0152', 0.9981353635190849), ('C0184', 0.9956029323890546)]"
C0125,"[('C0092', 0.9992123012070561), ('C0069', 0.9965207883834574), ('C0001', 0.9950670083683015)]"
C0126,"[('C0064', 0.9972818162071756), ('C0011', 0.9715561292194399), ('C0139', 0.9637669731117772)]"
C0127,"[('C0164', 0.999853660895477), ('C0001', 0.9995685864384749), ('C0135', 0.999431207184247)]"
C0133,"[('C0056', 0.997315759326817), ('C0116', 0.9952269450652302), ('C0191', 0.9937460155578006)]"
C0134,"[('C0161', 0.9999926318889454), ('C0098', 0.9997531360989329), ('C0049', 0.9981744445115417)]"
